slug,token_id,traits_sniper,rarity_sniffer,rarity_sniper,arithmetic,geometric,harmonic,sum,information_content,traits_sniper_rarity_sniffer_diff,traits_sniper_rarity_sniper_diff,traits_sniper_arithm_diff,traits_sniper_geom_diff,traits_sniper_harmo_diff,traits_sniper_sum_diff,traits_sniper_ic_diff,rarity_sniffer_rarity_sniper_diff,rarity_sniffer_arithm_diff,rarity_sniffer_geom_diff,rarity_sniffer_harmo_diff,rarity_sniffer_sum_diff,rarity_sniffer_ic_diff,rarity_sniper_arithm_diff,rarity_sniper_geom_diff,rarity_sniper_harmo_diff,rarity_sniper_sum_diff,rarity_sniper_ic_diff
boredapeyachtclub,0,2686,2918,2706,,,,,,232,20,,,,,,212,,,,,,,,,,
boredapeyachtclub,1,434,489,441,,,,,,55,7,,,,,,48,,,,,,,,,,
boredapeyachtclub,2,6166,5931,6250,,,,,,235,84,,,,,,319,,,,,,,,,,
boredapeyachtclub,3,6254,6029,6345,,,,,,225,91,,,,,,316,,,,,,,,,,
boredapeyachtclub,4,4620,4551,4667,,,,,,69,47,,,,,,116,,,,,,,,,,
boredapeyachtclub,5,4883,4815,4932,,,,,,68,49,,,,,,117,,,,,,,,,,
boredapeyachtclub,6,6268,6326,6360,,,,,,58,92,,,,,,34,,,,,,,,,,
boredapeyachtclub,7,6679,6757,6786,,,,,,78,107,,,,,,29,,,,,,,,,,
boredapeyachtclub,8,3294,4229,3323,,,,,,935,29,,,,,,906,,,,,,,,,,
boredapeyachtclub,9,3784,3915,3825,,,,,,131,41,,,,,,90,,,,,,,,,,
boredapeyachtclub,10,3198,3067,3225,,,,,,131,27,,,,,,158,,,,,,,,,,
boredapeyachtclub,11,3681,3567,3716,,,,,,114,35,,,,,,149,,,,,,,,,,
boredapeyachtclub,12,7032,7128,7122,,,,,,96,90,,,,,,6,,,,,,,,,,
boredapeyachtclub,13,6746,6859,6861,,,,,,113,115,,,,,,2,,,,,,,,,,
boredapeyachtclub,14,972,1383,980,,,,,,411,8,,,,,,403,,,,,,,,,,
boredapeyachtclub,15,2922,2812,2948,,,,,,110,26,,,,,,136,,,,,,,,,,
boredapeyachtclub,16,4729,4877,4780,,,,,,148,51,,,,,,97,,,,,,,,,,
boredapeyachtclub,17,2494,2901,2512,,,,,,407,18,,,,,,389,,,,,,,,,,
boredapeyachtclub,18,2097,1842,2110,,,,,,255,13,,,,,,268,,,,,,,,,,
boredapeyachtclub,19,5636,5385,5711,,,,,,251,75,,,,,,326,,,,,,,,,,
boredapeyachtclub,20,6330,6392,6422,,,,,,62,92,,,,,,30,,,,,,,,,,
boredapeyachtclub,21,8635,8541,8734,,,,,,94,99,,,,,,193,,,,,,,,,,
boredapeyachtclub,22,1751,1955,1762,,,,,,204,11,,,,,,193,,,,,,,,,,
boredapeyachtclub,23,1002,860,1006,,,,,,142,4,,,,,,146,,,,,,,,,,
boredapeyachtclub,24,6265,6325,6357,,,,,,60,92,,,,,,32,,,,,,,,,,
boredapeyachtclub,25,9468,9436,9524,,,,,,32,56,,,,,,88,,,,,,,,,,
boredapeyachtclub,26,6398,6464,6490,,,,,,66,92,,,,,,26,,,,,,,,,,
boredapeyachtclub,27,9198,9338,9267,,,,,,140,69,,,,,,71,,,,,,,,,,
boredapeyachtclub,28,4471,4987,4514,,,,,,516,43,,,,,,473,,,,,,,,,,
boredapeyachtclub,29,625,282,629,,,,,,343,4,,,,,,347,,,,,,,,,,
